UNIQUE_SCHOOL_ID,NCES_School_ID,School_Name,Logic_Class,School_Classification,Sum_total_pop,Avg_median_income,StdDev_median_income,City,County_Name,District_ID,School_ID,District_name,Grade_Range,Locale_Type,Locale_Code,NCES_District_ID,SCHID,X,Y,Zip,Avg_Education_LTHS,Avg_Education_CompHS_OrHigher,Avg_Education_SomeCollege_OrHigher,Avg_Education_Bach_OrHigher,Avg_Education_Masters_OrHigher,Avg_Education_Professional_OrHigher,Avg_Education_Doctorate_OrHigher,Avg_CompInternet_NoComputer,Avg_CompInternet_CompButNoInternet,Avg_CompInternet_CompWithSomeInternet,Weighed_Median_Income,Disparity_White,Disparity_Black,Disparity_Hispanic,Disparity_Asian,URG,Total_Student_Count,Teacher_Number,Teacher_Ratio__Based_on_CS_Teacher,SCH_FTETEACH_TOT,SCH_FTETEACH_CERT,SCH_FTETEACH_NOTCERT,SCH_FTECOUNSELORS,SCH_FTESECURITY_LEO,SCH_FTESECURITY_GUA,SCH_FTESERVICES_NUR,SCH_FTESERVICES_PSY,SCH_FTESERVICES_SOC,COMBOKEY,SCH_DISCWODIS_REF_AS_M,SCH_DISCWODIS_REF_AS_F,SCH_DISCWODIS_REF_BL_M,SCH_DISCWODIS_REF_BL_F,SCH_DISCWODIS_REF_WH_M,SCH_DISCWODIS_REF_WH_F,SCH_DISCWODIS_REF_HI_M,SCH_DISCWODIS_REF_HI_F,SCH_DISCWODIS_ARR_AS_M,SCH_DISCWODIS_ARR_AS_F,SCH_DISCWODIS_ARR_BL_M,SCH_DISCWODIS_ARR_BL_F,SCH_DISCWODIS_ARR_WH_M,SCH_DISCWODIS_ARR_WH_F,SCH_DISCWODIS_ARR_HI_M,SCH_DISCWODIS_ARR_HI_F,SCH_ENR_LEP_M,SCH_ENR_LEP_F,SCH_DISCWODIS_ISS_HI_M,SCH_DISCWODIS_ISS_HI_F,SCH_DISCWODIS_ISS_AS_M,SCH_DISCWODIS_ISS_AS_F,SCH_DISCWODIS_ISS_BL_M,SCH_DISCWODIS_ISS_BL_F,SCH_DISCWODIS_ISS_WH_M,SCH_DISCWODIS_ISS_WH_F,SCH_MATHCLASSES_ADVM,SCH_MATHCERT_ADVM,SCH_MATHENR_ADVM_HI_M,SCH_MATHENR_ADVM_HI_F,SCH_MATHENR_ADVM_AS_M,SCH_MATHENR_ADVM_AS_F,SCH_MATHENR_ADVM_BL_M,SCH_MATHENR_ADVM_BL_F,SCH_MATHENR_ADVM_WH_M,SCH_MATHENR_ADVM_WH_F,TOT_MATHENR_ADVM_M,TOT_MATHENR_ADVM_F,SCH_MATHENR_ADVM_LEP_M,SCH_MATHENR_ADVM_LEP_F,SCH_APENR_IND,SCH_APCOURSES,SCH_APSEL,SCH_APENR_HI_M,SCH_APENR_HI_F,SCH_APENR_AS_M,SCH_APENR_AS_F,SCH_APENR_BL_M,SCH_APENR_BL_F,SCH_APENR_WH_M,SCH_APENR_WH_F,TOT_APENR_M,TOT_APENR_F,SCH_APENR_LEP_M,SCH_APENR_LEP_F,SCH_APCOMPENR_BL_M,SCH_APCOMPENR_BL_F,SCH_APCOMPENR_AS_M,SCH_APCOMPENR_AS_F,SCH_APCOMPENR_WH_M,SCH_APCOMPENR_WH_F,SCH_APCOMPENR_HI_M,SCH_APCOMPENR_HI_F,TOT_APCOMPENR_M,TOT_APCOMPENR_F,SCH_COMPCLASSES_CSCI,SCH_COMPCCERT_CSCI,SCH_COMPENR_CSCI_HI_M,SCH_COMPENR_CSCI_HI_F,SCH_COMPENR_CSCI_WH_M,SCH_COMPENR_CSCI_WH_F,SCH_COMPENR_CSCI_BL_M,SCH_COMPENR_CSCI_BL_F,SCH_COMPENR_CSCI_AS_M,SCH_COMPENR_CSCI_AS_F,SCH_INTERNET_FIBER,SCH_INTERNET_WIFI,SCH_INTERNET_SCHDEV,SCH_INTERNET_STUDDEV,SCH_INTERNET_WIFIENDEV,Free_Lunch,Reduced_Lunch,demand_Black,demand_White,demand_Asian,demand_Hispanic
6442054,130174000666,Columbia High School,"1,0,0",In person without extra teachers,22091,52689.625,19451.25821,Stone Mountain,DeKalb County,644,2054,DeKalb County,09-12,Suburb,21,1301740,666,-84.25170135,33.72769547,30083,13.56983014,86.43016964,52.10680019,21.73943932,6.950105257,1.153481596,0.662845224,8.325002571,7.461435258,84.21356222,52881.97266,0.022762448,-0.050715338,0.045770261,-0.005567929,97.09999847,898,3,0.0033,53.0,23.0,30.0,3.0,0.0,2.0,0.0,0.0,1.0,130174000666.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,1.0,1.0,0.0,0.0,70.0,93.0,2.0,0.0,73.0,95.0,2.0,0.0,Yes,5.0,Yes,4.0,1.0,0.0,1.0,57.0,110.0,1.0,1.0,63.0,113.0,1.0,1.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,9.0,9.0,3.0,0.0,0.0,0.0,63.0,44.0,1.0,1.0,Yes,Yes,Yes,Yes,995.0,130.0,18.0,-0.17,0.16,-0.04,0.14
6280106,130111003308,Creekview High School,"1,1,0",Both without extra teachers,25390,133822.0,35309.39044,Canton,Cherokee County,628,106,Cherokee County,09-12,Suburb,21,1301110,3308,-84.33531189,34.23702621,30114,5.481624108,94.51837569,69.0055721,40.6368472,12.46654362,2.088001911,0.730856189,1.924202121,0.320374237,97.75542391,136380.0625,-0.050196514,-0.002221463,0.002862269,0.043019481,12.92000008,2128,1,0.0005,114.2,114.2,0.0,5.0,0.5,0.0,1.0,0.0,0.0,130111003308.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,28.0,15.0,21.0,21.0,10.0,21.0,1.0,5.0,2.0,6.0,175.0,162.0,193.0,198.0,0.0,1.0,Yes,27.0,Yes,13.0,22.0,9.0,3.0,3.0,11.0,256.0,215.0,288.0,258.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,7.0,0.0,2.0,26.0,9.0,8.0,8.0,0.0,2.0,30.0,9.0,1.0,0.0,2.0,0.0,Yes,Yes,No,Yes,971.0,620.0,110.0,-0.09,-1.0,0.46,0.43
7213054,130438001536,Glenn Hills High School,"1,0,1",In person with extra teachers,35084,53982.65,22976.04442,Augusta,Richmond County,721,3054,Richmond County,09-12,City,12,1304380,1536,-82.06769562,33.42909622,30901,14.10536802,85.8946317,50.0272126,15.82306451,5.779450927,2.140787071,1.044275786,4.94938973,10.24196577,84.80864479,58582.61719,0.084878109,-0.098408535,0.035047982,-0.002265006,95.80999756,883,4,0.0045,47.29,36.0,11.29,2.0,1.0,0.0,0.0,0.0,0.0,130438001536.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-11.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,16.0,16.0,2.0,8.0,0.0,1.0,74.0,72.0,3.0,3.0,81.0,86.0,0.0,3.0,Yes,7.0,Yes,3.0,4.0,0.0,1.0,27.0,31.0,2.0,1.0,33.0,38.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,13.0,13.0,5.0,4.0,5.0,3.0,86.0,72.0,1.0,1.0,Yes,Yes,Yes,Yes,948.0,196.0,76.0,-1.1,0.83,0.41,-0.09
6673750,130255001129,Central Gwinnett High School,"1,1,0",Both without extra teachers,37741,82580.0,25455.52356,Lawrenceville,Gwinnett County,667,3750,Gwinnett County,09-12,Suburb,21,1302550,1129,-84.00140381,33.94941711,30045,13.90936438,86.09063555,57.79051507,31.12518742,11.56838992,3.720855473,1.671514207,2.531413967,9.236301381,88.23228538,77704.57813,0.022268908,-0.068907566,-0.020588236,0.08739496,81.08999634,2380,7,0.0029,130.34,115.71,14.63,4.0,2.0,0.0,0.0,0.0,0.7,130255001129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,98.0,12.0,22.0,1.0,0.0,31.0,17.0,1.0,2.0,33.0,33.0,105.0,100.0,20.0,26.0,116.0,122.0,19.0,17.0,269.0,276.0,21.0,11.0,Yes,14.0,Yes,71.0,76.0,24.0,29.0,65.0,79.0,22.0,21.0,187.0,215.0,8.0,5.0,19.0,8.0,4.0,1.0,4.0,0.0,17.0,0.0,44.0,9.0,17.0,17.0,100.0,23.0,22.0,5.0,110.0,34.0,27.0,4.0,Yes,Yes,Yes,Yes,481.0,741.0,171.0,-0.45,0.1,0.39,-0.01
6600191,130228002119,Roswell High School,"1,0,0",In person without extra teachers,29279,175215.0476,36346.73181,Atlanta,Fulton County,660,191,Fulton County,09-12,Suburb,21,1302280,2119,-84.38334656,34.06312561,30339,2.258135996,97.7418636,89.95819439,71.55420997,27.64207055,6.685908144,2.860630382,0.748403563,1.035365294,98.21623161,166838.75,0.102762803,0.01361186,-0.129424974,0.017902067,38.95999908,2120,3,0.0014,125.86,117.81,8.05,5.93,2.0,2.0,0.5,1.0,2.0,130228002119.0,,,,,,,,,,,,,,,,,71.0,82.0,27.0,11.0,0.0,1.0,1.0,7.0,34.0,21.0,36.0,27.0,51.0,70.0,9.0,14.0,48.0,40.0,217.0,190.0,334.0,326.0,12.0,16.0,Yes,30.0,No,28.0,49.0,25.0,25.0,32.0,40.0,301.0,319.0,405.0,456.0,1.0,1.0,5.0,3.0,7.0,7.0,62.0,10.0,3.0,1.0,79.0,23.0,14.0,0.0,26.0,10.0,115.0,18.0,31.0,5.0,9.0,9.0,Yes,Yes,Yes,Yes,2248.0,422.0,79.0,0.23,-0.02,0.3,-0.37
7140194,130417000546,Pike County High School,"0,1,0",Virtual without extra teachers,6466,86728.0,10934.95755,Zebulon,Pike County,714,194,Pike County,09-12,Rural,42,1304170,546,-84.34216309,33.09976196,30295,8.993944287,91.00605583,51.36134052,20.07776856,8.492759824,3.089357644,1.651775509,3.941109121,8.05334422,88.00554848,88432.05469,0.125791863,-0.066063352,-0.022624435,-0.002714932,8.869999886,1105,0,0.0,59.49,56.99,2.5,2.0,1.0,0.0,1.0,0.0,0.0,130417000546.0,,,,,,,,,,,,,,,,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,5.0,16.0,13.0,5.0,2.0,2.0,0.0,6.0,5.0,92.0,76.0,106.0,86.0,0.0,0.0,Yes,13.0,Yes,7.0,1.0,2.0,1.0,2.0,6.0,125.0,137.0,137.0,149.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,Yes,Yes,No,Yes,0.0,445.0,0.0,-36.5,69.5,-1.5,-12.5
6520176,130201000894,Elbert County High School,"1,0,0",In person without extra teachers,18610,53572.88889,20707.35422,Elberton,Elbert County,652,176,Elbert County,09-12,Rural,41,1302010,894,-82.88414764,34.10821533,30635,17.27770773,82.72229225,42.43399384,14.49304578,5.88346662,2.174111454,0.399246401,8.651959912,10.14835776,81.19968214,50788.02344,0.056601502,-0.051067669,0.037894737,-0.009142857,48.68999863,875,1,0.0011,53.95,44.45,9.5,2.0,2.0,0.0,1.5,0.0,1.0,130201000894.0,0.0,0.0,2.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,1.0,0.0,11.0,6.0,8.0,7.0,0.0,0.0,38.0,31.0,47.0,36.0,12.0,5.0,7.0,7.0,1.0,1.0,18.0,16.0,37.0,20.0,65.0,45.0,3.0,0.0,Yes,5.0,Yes,4.0,3.0,1.0,0.0,2.0,5.0,22.0,23.0,31.0,32.0,1.0,0.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10.0,1.0,4.0,2.0,26.0,12.0,11.0,6.0,1.0,1.0,Yes,Yes,Yes,No,819.0,128.0,35.0,0.22,-0.1,-0.01,-0.04
7102552,130402001471,Paulding County High School,"1,1,0",Both without extra teachers,35668,71723.61111,16138.89972,Dallas,Paulding County,710,2552,Paulding County,09-12,Suburb,21,1304020,1471,-84.83567047,33.89313889,30132,9.797263978,90.2027359,53.84323221,18.04838595,5.559485595,2.005806248,0.767113908,3.175865048,3.335061113,93.4890735,69047.63281,-0.027386891,-0.129853934,0.138279304,0.008879587,45.59000015,2005,4,0.002,104.0,99.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,130402001471.0,0.0,0.0,10.0,8.0,20.0,13.0,1.0,1.0,0.0,0.0,8.0,6.0,11.0,1.0,0.0,0.0,15.0,12.0,20.0,16.0,1.0,1.0,37.0,27.0,47.0,49.0,10.0,10.0,14.0,14.0,1.0,2.0,33.0,49.0,56.0,80.0,111.0,152.0,3.0,0.0,Yes,14.0,Yes,12.0,20.0,1.0,7.0,30.0,52.0,71.0,107.0,120.0,196.0,2.0,1.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,Yes,Yes,Yes,Yes,544.0,,,-0.08,-0.01,0.08,0.09
6660402,130249004341,Lake Oconee Charter High School,"1,1,0",Both without extra teachers,10512,123677.7778,50541.93156,Greensboro,Greene County,666,402,Greene County,09-12,Rural,42,1302490,4341,-83.24175262,33.48815918,30642,6.88833766,93.11166306,77.17552414,50.19261608,17.16263533,5.147500622,1.348204166,2.963204753,7.678057444,89.35873795,108184.9453,-0.001824818,0.097323604,-0.048053529,-0.02189781,20.06999969,274,1,0.0036,19.3,19.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,130249004341.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,24.0,5.0,6.0,6.0,4.0,2.0,2.0,1.0,0.0,13.0,35.0,20.0,41.0,36.0,0.0,0.0,Yes,19.0,Yes,6.0,8.0,2.0,3.0,2.0,11.0,45.0,49.0,55.0,72.0,1.0,1.0,0.0,0.0,0.0,2.0,6.0,2.0,2.0,0.0,8.0,4.0,1.0,1.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,1.0,Yes,Yes,Yes,Yes,220.0,115.0,31.0,1.44,0.66,-0.43,-1.17
7690211,130114002457,Gordon Lee High School,"1,0,0",In person without extra teachers,18711,64160.30769,18420.8856,Chickamauga,Walker County,769,211,Chickamauga City,09-12,Suburb,21,1301140,2457,-85.29532623,34.86994171,30707,10.55143704,89.44856262,54.16603865,19.87102733,7.623405729,2.381284165,1.30787148,3.303259424,9.91106614,86.78567505,63758.87109,-0.044117648,0.0,-0.022058824,0.078431375,2.210000038,408,1,0.0025,27.47,27.47,0.0,1.0,0.0,0.0,0.33,0.0,0.0,130114002457.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,58.0,34.0,60.0,38.0,0.0,0.0,Yes,4.0,Yes,1.0,0.0,0.0,0.0,0.0,0.0,37.0,36.0,38.0,37.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,Yes,Yes,Yes,Yes,439.0,304.0,0.0,0.0,-1.5,2.67,-0.75
