"FISCAL_YEAR","FISCAL_COUNT","SYSTEM_ID","SYSTEM_NAME","NCES School ID","NCES District ID","SCHOOL_ID","UNIQUESCHOOLID","SCHOOL_NAME","GRADE_RANGE","FAC_SCHTYPE","Street Address","ZIP","Locale Code*","Locale*","Locale","lon","lat","schoolgeom","Total Student Count","Hispanic","American Indian","Asian","Black","Pacific Islander","White","Two or More Races","Female","Male","COURSE_TAKER_CS","Hispanic_CS","American Indian_CS","Asian_CS","Black_CS","Pacific Islander_CS","White_CS","Two or More Races_CS","Female_CS","Male_CS","Student Teacher Ratio*","Free Lunch*","Reduced Lunch*","Type","DI_Asian","DI_Black","DI_Hispanic","DI_White","DI_Female","Classification","Has Extra Teacher","School classification","Total CS Teachers","Student-Teacher Ratio (CS)","SWD Total","URG","COURSE_TITLE","SUM_POP","Less than High School","CMPLTHS and Higher","CompButNoInternet","No Computer","White population_Weighted_Income","Black population_Weighted_Income","Asian population_Weighted_Income","Hispanic population_Weighted_Income","Total_Pop_Weighted_Avg_Income","White_Weighted_Avg_Distance","Black_Weighted_Avg_Distance","Asian_Weighted_Avg_Distance","Hispanic_Weighted_Avg_Distance","Total_Missing_BGs for income","Missing_Percentage"
2024,1,601,Appling County,130006000010,1300060,103,"6010103",Appling County High School,"09-12",H,"482 Blackshear Hwy","31513","33",Town: Remote,Town,-82.3540047,31.7583796,"0101000020AD10000056485403A89654C01DF45B2A25C23F40",1054.0,202.0,0.0,12.0,252.0,0.0,554.0,34.0,514.0,540.0,9.0,1.0,0.0,1.0,1.0,0.0,6.0,0.0,2.0,7.0,16.91,849.0,0.0,Regular,0.1,-0.128,-0.081,0.141,-0.265,In Person,true,In Person with extra teacher,1.0,1054.0,0.0,0.431,Advanced Placement Computer Science Principles,12185.0,16.6844480919163,54.386540828888,18.9084940500616,6.54903569963069,27177.7416206498,18052.7369657116,,9851.08163265306,21493.0545494796,3396.11789918541,4152.29934187991,5798.5251683687,3599.87961867135,11.0,31.4285714285714
2024,1,602,Atkinson County,130009000015,1300090,103,"6020103",Atkinson County High School,"09-12",H,"145 Rebel Ln","31642","43",Rural: Remote,Rural,-82.8494565,31.3210531,"0101000020AD100000FAB7CB7E5DB654C088C7348930523F40",450.0,208.0,0.0,1.0,68.0,0.0,166.0,7.0,217.0,233.0,,,,,,,,,,,15.12,308.0,50.0,Regular,,,,,,No,false,No without extra teacher,,,,0.613,,13333.0,18.8029700742519,46.8011700292507,12.7953198829971,9.99774994374859,27097.2905905109,15391.4275534442,,14053.313734497,21094.4807190845,10475.3452323115,8440.4988991568,,6199.06699765591,5.0,18.5185185185185
2024,1,603,Bacon County,130015002357,1300150,302,"6030302",Bacon County High School,"09-12",H,"1190 US Highway 1 S","31510","41",Rural: Fringe,Rural,-82.4583659,31.5228911,"0101000020AD1000008086EDDD559D54C095DEED30DC853F40",637.0,110.0,0.0,3.0,131.0,0.0,365.0,28.0,306.0,331.0,,,,,,,,,,,14.54,332.0,41.0,Regular,,,,,,No,false,No without extra teacher,,,,0.378,,21882.0,10.6480212046431,52.9293483228224,14.2034548944338,5.4199798921488,25927.7732721913,9172.03719702424,39850.0,11533.523608769,18342.7629816691,10723.8201335851,6092.48686883053,4448.71594131154,11901.2792132543,11.0,25.5813953488372
2024,1,605,Baldwin County,130021000158,1300210,189,"6050189",Baldwin High School,"09-12",H,"155 Ga Highway 49 W","31061","32",Town: Distant,Town,-83.2592984,33.0718865,"0101000020AD100000EDF9505898D054C01143AB9333894040",1295.0,57.0,1.0,14.0,937.0,0.0,231.0,55.0,641.0,654.0,76.0,6.0,0.0,1.0,52.0,0.0,14.0,3.0,17.0,59.0,17.07,1172.0,0.0,Regular,0.002,-0.039,0.035,0.006,-0.271,Both,true,Both with extra teacher,2.0,647.5,5.0,0.768,"Computer Science Principles, Programming, Games, Apps and Society",35288.0,9.56132396282022,52.5447744275674,5.90285649512582,5.83484470641578,40579.3848051584,20588.3129934431,33595.0843137255,12824.3753753754,16834.8007263616,4996.30966504583,3493.22148288565,7280.28851301481,5282.69760796531,21.0,23.3333333333333
2024,1,606,Banks County,130024000169,1300240,199,"6060199",Banks County High School,"09-12",H,P.O. Box 277,"30547","41",Rural: Fringe,Rural,-83.4996892,34.307875,"0101000020AD100000850A69E8FADF54C0C520B07268274140",859.0,120.0,1.0,9.0,18.0,0.0,679.0,32.0,404.0,455.0,,,,,,,,,,,13.33,325.0,77.0,Regular,,,,,,No,true,No with extra teacher,2.0,429.5,,0.161,,11141.0,14.5049815994974,50.0673189121264,7.28839421954941,5.91508841217126,29644.1185586982,24340.0,,17176.8037383178,26768.3392487202,7064.38743077638,5862.75105601149,5903.29401363139,6771.15898505672,14.0,50.0
2024,1,607,Barrow County,130029002350,1300290,101,"6070101",Apalachee High School,"09-12",H,"940 Haymon Morris Rd","30680","41",Rural: Fringe,Rural,-83.7857491,33.9484734,"0101000020AD10000021D797B649F254C01E108D9367F94040",1928.0,593.0,3.0,69.0,360.0,0.0,801.0,102.0,891.0,1037.0,47.0,17.0,0.0,4.0,3.0,0.0,21.0,2.0,7.0,40.0,15.49,690.0,241.0,Regular,0.049,-0.123,0.054,0.031,-0.313,Both,false,Both without extra teacher,1.0,1928.0,8.0,0.494,"Advanced Placement Computer Science Principles, Computer Science Principles, Programming, Games, Apps and Society",37923.0,8.54362787754133,54.1491970571948,3.01927590116816,1.64016559871318,36650.1351539965,36199.069072165,26212.3939670932,26552.5227900553,30377.6980262524,3189.12586826998,3037.66208760378,2544.90183941479,3901.0866079692,15.0,21.1267605633803
2024,1,607,Barrow County,130029000173,1300290,3052,"6073052",Winder-Barrow High School,"09-12",H,"272 N 5th Ave","30680","31",Town: Fringe,Town,-83.7286508,34.0041142,"0101000020AD100000120DF736A2EE54C07F3969D086004140",1856.0,475.0,5.0,100.0,284.0,0.0,905.0,87.0,855.0,1001.0,12.0,4.0,0.0,2.0,1.0,0.0,4.0,1.0,4.0,8.0,15.03,630.0,168.0,Regular,0.113,-0.07,0.077,-0.154,-0.127,Both,false,Both without extra teacher,1.0,1856.0,0.0,0.409,"Advanced Placement, Computer Science A, Game Design: Animation and Simulation",47948.0,7.62701259698006,58.2526904146158,3.68107116042379,2.40468841244682,33543.6501828097,27410.1335144928,26943.1117182757,22832.7863522687,29147.0399438349,2533.85800436593,2952.66761576946,4759.3465038409,2213.60643664176,12.0,13.6363636363636
2024,1,608,Bartow County,130033002352,1300330,105,"6080105",Adairsville High School,"09-12",H,"519 Old Highway 41 NW","30103","41",Rural: Fringe,Rural,-84.9181203,34.339164,"0101000020AD100000CC92A57BC23A55C082FDD7B9692B4140",1233.0,121.0,1.0,10.0,68.0,1.0,980.0,52.0,580.0,653.0,111.0,5.0,0.0,0.0,5.0,2.0,92.0,7.0,25.0,86.0,18.69,405.0,110.0,Regular,-0.008,-0.01,-0.053,0.034,-0.245,In Person,true,In Person with extra teacher,2.0,616.5,8.0,0.153,"Advanced Placement, Computer Science A, Advanced Placement Computer Science Principles, Computer Science Principles, Programming, Games, Apps and Society",62332.0,9.18789706731695,58.4418918051723,9.46063017390747,5.39209394853366,35732.1929612981,19176.0615212528,61017.0054644809,17370.1978021978,26458.9979456465,10417.4772238911,14526.1152621467,19174.8361601523,12509.6116042546,52.0,35.8620689655172
2024,1,608,Bartow County,130033000181,1300330,114,"6080114",Cass High School,"09-12",H,"1000 Colonel Way NE","30184","41",Rural: Fringe,Rural,-84.7626638,34.2820149,"0101000020AD100000F5B5D37BCF3055C00B3E721019244140",1623.0,353.0,1.0,29.0,288.0,4.0,864.0,84.0,783.0,840.0,39.0,12.0,0.0,4.0,3.0,0.0,18.0,2.0,6.0,33.0,18.18,653.0,132.0,Regular,0.085,-0.101,0.09,-0.071,-0.329,In Person,true,In Person with extra teacher,2.0,811.5,3.0,0.395,"Advanced Placement Computer Science Principles, Programming, Games, Apps and Society, Introduction to Cybersecurity, Advanced Cybersecurity",71388.0,5.55835714685942,62.0062195326946,6.8709026727181,2.87023029080518,45007.4625351511,30091.4124753452,,24695.230173716,37028.9749580416,10914.795481523,13291.4714646434,11361.5794229638,12036.9999477892,48.0,39.0243902439024
2024,1,608,Bartow County,130033001914,1300330,198,"6080198",Woodland High School,"09-12",H,"800 Old Alabama Rd SE","30120","41",Rural: Fringe,Rural,-84.8313767,34.1190836,"0101000020AD100000024A9E46353555C0B7BEA3213E0F4140",1502.0,310.0,7.0,9.0,110.0,0.0,1011.0,55.0,735.0,767.0,12.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,10.0,17.13,543.0,151.0,Regular,-0.006,-0.073,0.127,-0.006,-0.323,In Person,true,In Person with extra teacher,1.0,1502.0,1.0,0.28,Advanced Placement Computer Science Principles,124156.0,5.73472083507845,59.7933245272077,7.21753278133961,1.8831147910693,41164.4284794276,36181.2125215394,56872.9313069909,25706.8014899713,35386.4394554575,11797.7936980221,17003.8600481862,17490.2278629808,14349.3116231707,67.0,28.755364806867
